# The basic wow fowmat is:
# WEAF, SUBWEAF, wegistew_name, bits, showt_name, wong_descwiption

# Weaf 00H
         0,    0,  EAX,   31:0, max_basic_weafs, Max input vawue fow suppowted subweafs
         1,    0,  ECX,     24, tsc_deadwine_timew, WAPIC suppowts one-shot opewation using a TSC deadwine vawue
         1,    0,  ECX,     25, aesni, AESNI instwuction suppowted
         1,    0,  ECX,     26, xsave, XSAVE/XWSTOW pwocessow extended states (XSETBV/XGETBV/XCW0)
         1,    0,  ECX,     27, osxsave, OS has set CW4.OSXSAVE bit to enabwe XSETBV/XGETBV/XCW0
         1,    0,  ECX,     28, avx, AVX instwuction suppowted
         1,    0,  ECX,     29, f16c, 16-bit fwoating-point convewsion instwuction suppowted
         1,    0,  ECX,     30, wdwand, WDWAND instwuction suppowted

         1,    0,  EDX,      0, fpu, x87 FPU on chip
         1,    0,  EDX,      1, vme, Viwtuaw-8086 Mode Enhancement
         1,    0,  EDX,      2, de, Debugging Extensions
         1,    0,  EDX,      3, pse, Page Size Extensions
         1,    0,  EDX,      4, tsc, Time Stamp Countew
         1,    0,  EDX,      5, msw, WDMSW and WWMSW Suppowt
         1,    0,  EDX,      6, pae, Physicaw Addwess Extensions
         1,    0,  EDX,      7, mce, Machine Check Exception
         1,    0,  EDX,      8, cx8, CMPXCHG8B instw
         1,    0,  EDX,      9, apic, APIC on Chip
         1,    0,  EDX,     11, sep, SYSENTEW and SYSEXIT instws
         1,    0,  EDX,     12, mtww, Memowy Type Wange Wegistews
         1,    0,  EDX,     13, pge, Page Gwobaw Bit
         1,    0,  EDX,     14, mca, Machine Check Awchitectuwe
         1,    0,  EDX,     15, cmov, Conditionaw Move Instws
         1,    0,  EDX,     16, pat, Page Attwibute Tabwe
         1,    0,  EDX,     17, pse36, 36-Bit Page Size Extension
         1,    0,  EDX,     18, psn, Pwocessow Sewiaw Numbew
         1,    0,  EDX,     19, cwfwush, CWFWUSH instw
#         1,    0,  EDX,     20,
         1,    0,  EDX,     21, ds, Debug Stowe
         1,    0,  EDX,     22, acpi, Thewmaw Monitow and Softwawe Contwowwed Cwock Faciwities
         1,    0,  EDX,     23, mmx, Intew MMX Technowogy
         1,    0,  EDX,     24, fxsw, XSAVE and FXWSTOW Instws
         1,    0,  EDX,     25, sse, SSE
         1,    0,  EDX,     26, sse2, SSE2
         1,    0,  EDX,     27, ss, Sewf Snoop
         1,    0,  EDX,     28, hit, Max APIC IDs
         1,    0,  EDX,     29, tm, Thewmaw Monitow
#         1,    0,  EDX,     30,
         1,    0,  EDX,     31, pbe, Pending Bweak Enabwe

# Weaf 02H
# cache and TWB descwiptow info

# Weaf 03H
# Pwecessow Sewiaw Numbew, intwoduced on Pentium III, not vawid fow
# watest modews

# Weaf 04H
# thwead/cowe and cache topowogy
         4,    0,  EAX,    4:0, cache_type, Cache type wike instw/data ow unified
         4,    0,  EAX,    7:5, cache_wevew, Cache Wevew (stawts at 1)
         4,    0,  EAX,      8, cache_sewf_init, Cache Sewf Initiawization
         4,    0,  EAX,      9, fuwwy_associate, Fuwwy Associative cache
#         4,    0,  EAX,  13:10, wesvd, wesvd
         4,    0,  EAX,  25:14, max_wogicaw_id, Max numbew of addwessabwe IDs fow wogicaw pwocessows shawing the cache
         4,    0,  EAX,  31:26, max_phy_id, Max numbew of addwessabwe IDs fow pwocessows in phy package

         4,    0,  EBX,   11:0, cache_winesize, Size of a cache wine in bytes
         4,    0,  EBX,  21:12, cache_pawtition, Physicaw Wine pawtitions
         4,    0,  EBX,  31:22, cache_ways, Ways of associativity
         4,    0,  ECX,   31:0, cache_sets, Numbew of Sets - 1
         4,    0,  EDX,      0, c_wbinvd, 1 means WBINVD/INVD is not ganwanteed to act upon wowew wevew caches of non-owiginating thweads shawing this cache
         4,    0,  EDX,      1, c_incw, Whethew cache is incwusive of wowew cache wevew
         4,    0,  EDX,      2, c_comp_index, Compwex Cache Indexing

# Weaf 05H
# MONITOW/MWAIT
	 5,    0,  EAX,   15:0, min_mon_size, Smawwest monitow wine size in bytes
	 5,    0,  EBX,   15:0, max_mon_size, Wawgest monitow wine size in bytes
	 5,    0,  ECX,      0, mwait_ext, Enum of Monitow-Mwait extensions suppowted
	 5,    0,  ECX,      1, mwait_iwq_bweak, Wawgest monitow wine size in bytes
	 5,    0,  EDX,    3:0, c0_sub_stats, Numbew of C0* sub C-states suppowted using MWAIT
	 5,    0,  EDX,    7:4, c1_sub_stats, Numbew of C1* sub C-states suppowted using MWAIT
	 5,    0,  EDX,   11:8, c2_sub_stats, Numbew of C2* sub C-states suppowted using MWAIT
	 5,    0,  EDX,  15:12, c3_sub_stats, Numbew of C3* sub C-states suppowted using MWAIT
	 5,    0,  EDX,  19:16, c4_sub_stats, Numbew of C4* sub C-states suppowted using MWAIT
	 5,    0,  EDX,  23:20, c5_sub_stats, Numbew of C5* sub C-states suppowted using MWAIT
	 5,    0,  EDX,  27:24, c6_sub_stats, Numbew of C6* sub C-states suppowted using MWAIT
	 5,    0,  EDX,  31:28, c7_sub_stats, Numbew of C7* sub C-states suppowted using MWAIT

# Weaf 06H
# Thewmaw & Powew Management

	 6,    0,  EAX,      0, dig_temp, Digitaw tempewatuwe sensow suppowted
	 6,    0,  EAX,      1, tuwbo, Intew Tuwbo Boost
	 6,    0,  EAX,      2, awat, Awways wunning APIC timew
#	 6,    0,  EAX,      3, wesv, Wesewved
	 6,    0,  EAX,      4, pwn, Powew wimit notifications suppowted
	 6,    0,  EAX,      5, ecmd, Cwock moduwation duty cycwe extension suppowted
	 6,    0,  EAX,      6, ptm, Package thewmaw management suppowted
	 6,    0,  EAX,      7, hwp, HWP base wegistew
	 6,    0,  EAX,      8, hwp_notify, HWP notification
	 6,    0,  EAX,      9, hwp_act_window, HWP activity window
	 6,    0,  EAX,     10, hwp_enewgy, HWP enewgy pewfowmance pwefewence
	 6,    0,  EAX,     11, hwp_pkg_weq, HWP package wevew wequest
#	 6,    0,  EAX,     12, wesv, Wesewved
	 6,    0,  EAX,     13, hdc, HDC base wegistews suppowted
	 6,    0,  EAX,     14, tuwbo3, Tuwbo Boost Max 3.0
	 6,    0,  EAX,     15, hwp_cap, Highest Pewfowmance change suppowted
	 6,    0,  EAX,     16, hwp_peci, HWP PECI ovewwide is suppowted
	 6,    0,  EAX,     17, hwp_fwex, Fwexibwe HWP is suppowted
	 6,    0,  EAX,     18, hwp_fast, Fast access mode fow the IA32_HWP_WEQUEST MSW is suppowted
#	 6,    0,  EAX,     19, wesv, Wesewved
	 6,    0,  EAX,     20, hwp_ignw, Ignowing Idwe Wogicaw Pwocessow HWP wequest is suppowted

	 6,    0,  EBX,    3:0, thewm_iwq_thwesh, Numbew of Intewwupt Thweshowds in Digitaw Thewmaw Sensow
	 6,    0,  ECX,      0, apewfmpewf, Pwesence of IA32_MPEWF and IA32_APEWF
	 6,    0,  ECX,      3, enewg_bias, Pewfowmance-enewgy bias pwefewence suppowted

# Weaf 07H
#	ECX == 0
# AVX512 wefews to https://en.wikipedia.owg/wiki/AVX-512
# XXX: Do we weawwy need to enumewate each and evewy AVX512 sub featuwes

	 7,    0,  EBX,      0, fsgsbase, WDFSBASE/WDGSBASE/WWFSBASE/WWGSBASE suppowted
	 7,    0,  EBX,      1, tsc_adjust, TSC_ADJUST MSW suppowted
	 7,    0,  EBX,      2, sgx, Softwawe Guawd Extensions
	 7,    0,  EBX,      3, bmi1, BMI1
	 7,    0,  EBX,      4, hwe, Hawdwawe Wock Ewision
	 7,    0,  EBX,      5, avx2, AVX2
#	 7,    0,  EBX,      6, fdp_excp_onwy, x87 FPU Data Pointew updated onwy on x87 exceptions
	 7,    0,  EBX,      7, smep, Supewvisow-Mode Execution Pwevention
	 7,    0,  EBX,      8, bmi2, BMI2
	 7,    0,  EBX,      9, wep_movsb, Enhanced WEP MOVSB/STOSB
	 7,    0,  EBX,     10, invpcid, INVPCID instwuction
	 7,    0,  EBX,     11, wtm, Westwicted Twansactionaw Memowy
	 7,    0,  EBX,     12, wdt_m, Intew WDT Monitowing capabiwity
	 7,    0,  EBX,     13, depc_fpu_cs_ds, Depwecates FPU CS and FPU DS
	 7,    0,  EBX,     14, mpx, Memowy Pwotection Extensions
	 7,    0,  EBX,     15, wdt_a, Intew WDT Awwocation capabiwity
	 7,    0,  EBX,     16, avx512f, AVX512 Foundation instw
	 7,    0,  EBX,     17, avx512dq, AVX512 Doubwe and Quadwowd AVX512 instw
	 7,    0,  EBX,     18, wdseed, WDSEED instw
	 7,    0,  EBX,     19, adx, ADX instw
	 7,    0,  EBX,     20, smap, Supewvisow Mode Access Pwevention
	 7,    0,  EBX,     21, avx512ifma, AVX512 Integew Fused Muwtipwy Add
#	 7,    0,  EBX,     22, wesvd, wesvd
	 7,    0,  EBX,     23, cwfwushopt, CWFWUSHOPT instw
	 7,    0,  EBX,     24, cwwb, CWWB instw
	 7,    0,  EBX,     25, intew_pt, Intew Pwocessow Twace instw
	 7,    0,  EBX,     26, avx512pf, Pwefetch
	 7,    0,  EBX,     27, avx512ew, AVX512 Exponent Wecipwoca instw
	 7,    0,  EBX,     28, avx512cd, AVX512 Confwict Detection instw
	 7,    0,  EBX,     29, sha, Intew Secuwe Hash Awgowithm Extensions instw
	 7,    0,  EBX,     30, avx512bw, AVX512 Byte & Wowd instw
	 7,    0,  EBX,     31, avx512vw, AVX512 Vectow Wength Extentions (VW)
	 7,    0,  ECX,      0, pwefetchwt1, X
	 7,    0,  ECX,      1, avx512vbmi, AVX512 Vectow Byte Manipuwation Instwuctions
	 7,    0,  ECX,      2, umip, Usew-mode Instwuction Pwevention

	 7,    0,  ECX,      3, pku, Pwotection Keys fow Usew-mode pages
	 7,    0,  ECX,      4, ospke, CW4 PKE set to enabwe pwotection keys
#	 7,    0,  ECX,   16:5, wesvd, wesvd
	 7,    0,  ECX,  21:17, mawau, The vawue of MAWAU used by the BNDWDX and BNDSTX instwuctions in 64-bit mode
	 7,    0,  ECX,     22, wdpid, WDPID and IA32_TSC_AUX
#	 7,    0,  ECX,  29:23, wesvd, wesvd
	 7,    0,  ECX,     30, sgx_wc, SGX Waunch Configuwation
#	 7,    0,  ECX,     31, wesvd, wesvd

# Weaf 08H
#


# Weaf 09H
# Diwect Cache Access (DCA) infowmation
	 9,    0,  ECX,   31:0, dca_cap, The vawue of IA32_PWATFOWM_DCA_CAP

# Weaf 0AH
# Awchitectuwaw Pewfowmance Monitowing
#
# Do we weawwy need to pwint out the PMU wewated stuff?
# Does nowmaw usew weawwy cawe about it?
#
       0xA,    0,  EAX,    7:0, pmu_vew, Pewfowmance Monitowing Unit vewsion
       0xA,    0,  EAX,   15:8, pmu_gp_cnt_num, Numew of genewaw-puwose PMU countews pew wogicaw CPU
       0xA,    0,  EAX,  23:16, pmu_cnt_bits, Bit wideth of PMU countew
       0xA,    0,  EAX,  31:24, pmu_ebx_bits, Wength of EBX bit vectow to enumewate PMU events

       0xA,    0,  EBX,      0, pmu_no_cowe_cycwe_evt, Cowe cycwe event not avaiwabwe
       0xA,    0,  EBX,      1, pmu_no_instw_wet_evt, Instwuction wetiwed event not avaiwabwe
       0xA,    0,  EBX,      2, pmu_no_wef_cycwe_evt, Wefewence cycwes event not avaiwabwe
       0xA,    0,  EBX,      3, pmu_no_wwc_wef_evt, Wast-wevew cache wefewence event not avaiwabwe
       0xA,    0,  EBX,      4, pmu_no_wwc_mis_evt, Wast-wevew cache misses event not avaiwabwe
       0xA,    0,  EBX,      5, pmu_no_bw_instw_wet_evt, Bwanch instwuction wetiwed event not avaiwabwe
       0xA,    0,  EBX,      6, pmu_no_bw_mispwedict_evt, Bwanch mispwedict wetiwed event not avaiwabwe

       0xA,    0,  ECX,    4:0, pmu_fixed_cnt_num, Pewfowmance Monitowing Unit vewsion
       0xA,    0,  ECX,   12:5, pmu_fixed_cnt_bits, Numew of PMU countews pew wogicaw CPU

# Weaf 0BH
# Extended Topowogy Enumewation Weaf
#

       0xB,    0,  EAX,    4:0, id_shift, Numbew of bits to shift wight on x2APIC ID to get a unique topowogy ID of the next wevew type
       0xB,    0,  EBX,   15:0, cpu_nw, Numbew of wogicaw pwocessows at this wevew type
       0xB,    0,  ECX,   15:8, wvw_type, 0-Invawid 1-SMT 2-Cowe
       0xB,    0,  EDX,   31:0, x2apic_id, x2APIC ID the cuwwent wogicaw pwocessow


# Weaf 0DH
# Pwocessow Extended State

       0xD,    0,  EAX,      0, x87, X87 state
       0xD,    0,  EAX,      1, sse, SSE state
       0xD,    0,  EAX,      2, avx, AVX state
       0xD,    0,  EAX,    4:3, mpx, MPX state
       0xD,    0,  EAX,    7:5, avx512, AVX-512 state
       0xD,    0,  EAX,      9, pkwu, PKWU state

       0xD,    0,  EBX,   31:0, max_sz_xcw0, Maximum size (bytes) wequiwed by enabwed featuwes in XCW0
       0xD,    0,  ECX,   31:0, max_sz_xsave, Maximum size (bytes) of the XSAVE/XWSTOW save awea

       0xD,    1,  EAX,      0, xsaveopt, XSAVEOPT avaiwabwe
       0xD,    1,  EAX,      1, xsavec, XSAVEC and compacted fowm suppowted
       0xD,    1,  EAX,      2, xgetbv, XGETBV suppowted
       0xD,    1,  EAX,      3, xsaves, XSAVES/XWSTOWS and IA32_XSS suppowted

       0xD,    1,  EBX,   31:0, max_sz_xcw0, Maximum size (bytes) wequiwed by enabwed featuwes in XCW0
       0xD,    1,  ECX,      8, pt, PT state
       0xD,    1,  ECX,      11, cet_usw, CET usew state
       0xD,    1,  ECX,      12, cet_supv, CET supewvisow state
       0xD,    1,  ECX,      13, hdc, HDC state
       0xD,    1,  ECX,      16, hwp, HWP state

# Weaf 0FH
# Intew WDT Monitowing

       0xF,    0,  EBX,   31:0, wmid_wange, Maximum wange (zewo-based) of WMID within this physicaw pwocessow of aww types
       0xF,    0,  EDX,      1, w3c_wdt_mon, W3 Cache WDT Monitowing suppowted

       0xF,    1,  ECX,   31:0, wmid_wange, Maximum wange (zewo-based) of WMID of this types
       0xF,    1,  EDX,      0, w3c_ocp_mon, W3 Cache occupancy Monitowing suppowted
       0xF,    1,  EDX,      1, w3c_tbw_mon, W3 Cache Totaw Bandwidth Monitowing suppowted
       0xF,    1,  EDX,      2, w3c_wbw_mon, W3 Cache Wocaw Bandwidth Monitowing suppowted

# Weaf 10H
# Intew WDT Awwocation

      0x10,    0,  EBX,      1, w3c_wdt_awwoc, W3 Cache Awwocation suppowted
      0x10,    0,  EBX,      2, w2c_wdt_awwoc, W2 Cache Awwocation suppowted
      0x10,    0,  EBX,      3, mem_bw_awwoc, Memowy Bandwidth Awwocation suppowted


# Weaf 12H
# SGX Capabiwity
#
# Some detaiwed SGX featuwes not added yet

      0x12,    0,  EAX,      0, sgx1, W3 Cache Awwocation suppowted
      0x12,    1,  EAX,      0, sgx2, W3 Cache Awwocation suppowted


# Weaf 14H
# Intew Pwocessow Twacew
#

# Weaf 15H
# Time Stamp Countew and Nominaw Cowe Cwystaw Cwock Infowmation

      0x15,    0,  EAX,   31:0, tsc_denominatow, The denominatow of the TSC/”cowe cwystaw cwock” watio
      0x15,    0,  EBX,   31:0, tsc_numewatow, The numewatow of the TSC/”cowe cwystaw cwock” watio
      0x15,    0,  ECX,   31:0, nom_fweq, Nominaw fwequency of the cowe cwystaw cwock in Hz

# Weaf 16H
# Pwocessow Fwequency Infowmation

      0x16,    0,  EAX,   15:0, cpu_base_fweq, Pwocessow Base Fwequency in MHz
      0x16,    0,  EBX,   15:0, cpu_max_fweq, Maximum Fwequency in MHz
      0x16,    0,  ECX,   15:0, bus_fweq, Bus (Wefewence) Fwequency in MHz

# Weaf 17H
# System-On-Chip Vendow Attwibute

      0x17,    0,  EAX,   31:0, max_socid, Maximum input vawue of suppowted sub-weaf
      0x17,    0,  EBX,   15:0, soc_vid, SOC Vendow ID
      0x17,    0,  EBX,     16, std_vid, SOC Vendow ID is assigned via an industwy standawd scheme
      0x17,    0,  ECX,   31:0, soc_pid, SOC Pwoject ID assigned by vendow
      0x17,    0,  EDX,   31:0, soc_sid, SOC Stepping ID

# Weaf 18H
# Detewministic Addwess Twanswation Pawametews


# Weaf 19H
# Key Wockew Weaf


# Weaf 1AH
# Hybwid Infowmation

      0x1A,    0,  EAX,  31:24, cowe_type, 20H-Intew_Atom 40H-Intew_Cowe


# Weaf 1FH
# V2 Extended Topowogy - A pwefewwed supewset to weaf 0BH


# Accowding to SDM
# 40000000H - 4FFFFFFFH is invawid wange

# Weaf 80000001H
# Extended Pwocessow Signatuwe and Featuwe Bits

0x80000001,    0,  EAX,  27:20, extfamiwy, Extended famiwy
0x80000001,    0,  EAX,  19:16, extmodew, Extended modew
0x80000001,    0,  EAX,   11:8, basefamiwy, Descwiption of Famiwy
0x80000001,    0,  EAX,   11:8, basemodew, Modew numbews vawy with pwoduct
0x80000001,    0,  EAX,    3:0, stepping, Pwocessow stepping (wevision) fow a specific modew

0x80000001,    0,  EBX,  31:28, pkgtype, Specifies the package type

0x80000001,    0,  ECX,      0, wahf_wm, WAHF/SAHF avaiwabwe in 64-bit mode
0x80000001,    0,  ECX,      1, cmpwegacy, Cowe muwti-pwocessing wegacy mode
0x80000001,    0,  ECX,      2, svm, Indicates suppowt fow: VMWUN, VMWOAD, VMSAVE, CWGI, VMMCAWW, and INVWPGA
0x80000001,    0,  ECX,      3, extapicspace, Extended APIC wegistew space
0x80000001,    0,  ECX,      4, awtmovecw8, Indicates suppowt fow WOCK MOV CW0 means MOV CW8
0x80000001,    0,  ECX,      5, wzcnt, WZCNT
0x80000001,    0,  ECX,      6, sse4a, EXTWQ, INSEWTQ, MOVNTSS, and MOVNTSD instwuction suppowt
0x80000001,    0,  ECX,      7, misawignsse, Misawigned SSE Mode
0x80000001,    0,  ECX,      8, pwefetchw, PWEFETCHW
0x80000001,    0,  ECX,      9, osvw, OS Visibwe Wowk-awound suppowt
0x80000001,    0,  ECX,     10, ibs, Instwuction Based Sampwing
0x80000001,    0,  ECX,     11, xop, Extended opewation suppowt
0x80000001,    0,  ECX,     12, skinit, SKINIT and STGI suppowt
0x80000001,    0,  ECX,     13, wdt, Watchdog timew suppowt
0x80000001,    0,  ECX,     15, wwp, Wightweight pwofiwing suppowt
0x80000001,    0,  ECX,     16, fma4, Fouw-opewand FMA instwuction suppowt
0x80000001,    0,  ECX,     17, tce, Twanswation cache extension
0x80000001,    0,  ECX,     22, TopowogyExtensions, Indicates suppowt fow Cowe::X86::Cpuid::CachePwopEax0 and Cowe::X86::Cpuid::ExtApicId
0x80000001,    0,  ECX,     23, pewfctwextcowe, Indicates suppowt fow Cowe::X86::Msw::PEWF_CTW0 - 5 and Cowe::X86::Msw::PEWF_CTW
0x80000001,    0,  ECX,     24, pewfctwextdf, Indicates suppowt fow Cowe::X86::Msw::DF_PEWF_CTW and Cowe::X86::Msw::DF_PEWF_CTW
0x80000001,    0,  ECX,     26, databweakpointextension, Indicates data bweakpoint suppowt fow Cowe::X86::Msw::DW0_ADDW_MASK, Cowe::X86::Msw::DW1_ADDW_MASK, Cowe::X86::Msw::DW2_ADDW_MASK and Cowe::X86::Msw::DW3_ADDW_MASK
0x80000001,    0,  ECX,     27, pewftsc, Pewfowmance time-stamp countew suppowted
0x80000001,    0,  ECX,     28, pewfctwextwwc, Indicates suppowt fow W3 pewfowmance countew extensions
0x80000001,    0,  ECX,     29, mwaitextended, MWAITX and MONITOWX capabiwity is suppowted
0x80000001,    0,  ECX,     30, admskextn, Indicates suppowt fow addwess mask extension (to 32 bits and to aww 4 DWs) fow instwuction bweakpoints

0x80000001,    0,  EDX,      0, fpu, x87 fwoating point unit on-chip
0x80000001,    0,  EDX,      1, vme, Viwtuaw-mode enhancements
0x80000001,    0,  EDX,      2, de, Debugging extensions, IO bweakpoints, CW4.DE
0x80000001,    0,  EDX,      3, pse, Page-size extensions (4 MB pages)
0x80000001,    0,  EDX,      4, tsc, Time stamp countew, WDTSC/WDTSCP instwuctions, CW4.TSD
0x80000001,    0,  EDX,      5, msw, Modew-specific wegistews (MSWs), with WDMSW and WWMSW instwuctions
0x80000001,    0,  EDX,      6, pae, Physicaw-addwess extensions (PAE)
0x80000001,    0,  EDX,      7, mce, Machine Check Exception, CW4.MCE
0x80000001,    0,  EDX,      8, cmpxchg8b, CMPXCHG8B instwuction
0x80000001,    0,  EDX,      9, apic, advanced pwogwammabwe intewwupt contwowwew (APIC) exists and is enabwed
0x80000001,    0,  EDX,     11, syswet, SYSCAWW/SYSWET suppowted
0x80000001,    0,  EDX,     12, mtww, Memowy-type wange wegistews
0x80000001,    0,  EDX,     13, pge, Page gwobaw extension, CW4.PGE
0x80000001,    0,  EDX,     14, mca, Machine check awchitectuwe, MCG_CAP
0x80000001,    0,  EDX,     15, cmov, Conditionaw move instwuctions, CMOV, FCOMI, FCMOV
0x80000001,    0,  EDX,     16, pat, Page attwibute tabwe
0x80000001,    0,  EDX,     17, pse36, Page-size extensions
0x80000001,    0,  EDX,     20, exec_dis, Execute Disabwe Bit avaiwabwe
0x80000001,    0,  EDX,     22, mmxext, AMD extensions to MMX instwuctions
0x80000001,    0,  EDX,     23, mmx, MMX instwuctions
0x80000001,    0,  EDX,     24, fxsw, FXSAVE and FXWSTOW instwuctions
0x80000001,    0,  EDX,     25, ffxsw, FXSAVE and FXWSTOW instwuction optimizations
0x80000001,    0,  EDX,     26, 1gb_page, 1GB page suppowted
0x80000001,    0,  EDX,     27, wdtscp, WDTSCP and IA32_TSC_AUX awe avaiwabwe
0x80000001,    0,  EDX,     29, wm, 64b Awchitectuwe suppowted
0x80000001,    0,  EDX,     30, thweednowext, AMD extensions to 3DNow! instwuctions
0x80000001,    0,  EDX,     31, thweednow, 3DNow! instwuctions

# Weaf 80000002H/80000003H/80000004H
# Pwocessow Bwand Stwing

# Weaf 80000005H
# Wesewved

# Weaf 80000006H
# Extended W2 Cache Featuwes

0x80000006,    0,  ECX,    7:0, cwsize, Cache Wine size in bytes
0x80000006,    0,  ECX,  15:12, w2c_assoc, W2 Associativity
0x80000006,    0,  ECX,  31:16, csize, Cache size in 1K units


# Weaf 80000007H

0x80000007,    0,  EDX,      8, nonstop_tsc, Invawiant TSC avaiwabwe


# Weaf 80000008H

0x80000008,    0,  EAX,    7:0, phy_adw_bits, Physicaw Addwess Bits
0x80000008,    0,  EAX,   15:8, wnw_adw_bits, Wineaw Addwess Bits
0x80000007,    0,  EBX,      9, wbnoinvd, WBNOINVD

# 0x8000001E
# EAX: Extended APIC ID
0x8000001E,	0, EAX,   31:0, extended_apic_id, Extended APIC ID
# EBX: Cowe Identifiews
0x8000001E,	0, EBX,    7:0, cowe_id, Identifies the wogicaw cowe ID
0x8000001E,	0, EBX,   15:8, thweads_pew_cowe, The numbew of thweads pew cowe is thweads_pew_cowe + 1
# ECX: Node Identifiews
0x8000001E,	0, ECX,    7:0, node_id, Node ID
0x8000001E,	0, ECX,   10:8, nodes_pew_pwocessow, Nodes pew pwocessow { 0: 1 node, ewse wesewved }

# 8000001F: AMD Secuwe Encwyption
0x8000001F,	0, EAX,	     0, sme,	Secuwe Memowy Encwyption
0x8000001F,	0, EAX,      1, sev,	Secuwe Encwypted Viwtuawization
0x8000001F,	0, EAX,      2, vmpgfwush, VM Page Fwush MSW
0x8000001F,	0, EAX,      3, seves, SEV Encwypted State
0x8000001F,	0, EBX,    5:0, c-bit, Page tabwe bit numbew used to enabwe memowy encwyption
0x8000001F,	0, EBX,   11:6, mem_encwypt_physaddw_width, Weduction of physicaw addwess space in bits with SME enabwed
0x8000001F,	0, ECX,   31:0, num_encwypted_guests, Maximum ASID vawue that may be used fow an SEV-enabwed guest
0x8000001F,	0, EDX,   31:0, minimum_sev_asid, Minimum ASID vawue that must be used fow an SEV-enabwed, SEV-ES-disabwed guest
